Date,Multifamily_Calgary_Downtown ,Multifamily_Edmonton_Downtown ,Multifamily_Halifax_Downtown ,Multifamily_Montreal_Downtown ,Multifamily_National_Downtown ,Multifamily_Ottawa-Gatineau_Downtown ,Multifamily_Toronto_Downtown ,Multifamily_Vancouver_Downtown ,Multifamily_Montreal_Midtown,Multifamily_National_Overall,Multifamily_Calgary_Suburban,Multifamily_Edmonton_Suburban,Multifamily_Halifax_Suburban,Multifamily_Montreal_Suburban,Multifamily_National_Suburban,Multifamily_Ottawa-Gatineau_Suburban,Multifamily_Toronto_Suburban,Multifamily_Vancouver_Suburban,GOC,Change_GOC
Q1 2001,,,,,,,,,0.085,0.080625,0.081,0.084,0.086,0.081,0.08,0.081,0.078,0.069,0.05,
Q2 2001,,,,,,,,,0.085,0.080875,0.081,0.083,0.088,0.083,0.080285714,0.081,0.078,0.068,0.05,0.01
Q3 2001,,,,,,,,,0.085,0.07975,0.082,0.083,0.082,0.086,0.079,0.079,0.076,0.065,0.03,-0.34
Q4 2001,,,,,,,,,0.085,0.0805,0.082,0.083,0.086,0.084,0.079857143,0.08,0.076,0.068,0.02,-0.29
Q1 2002,,,,,,,,,0.083,0.079625,0.079,0.08,0.087,0.084,0.079142857,0.08,0.076,0.068,0.03,0.59
Q2 2002,,,,,,,,,0.083,0.0795,0.08,0.08,0.087,0.083,0.079,0.08,0.076,0.067,0.03,-0.04
Q3 2002,,,,,,,,,0.082,0.079,0.078,0.081,0.087,0.083,0.078571429,0.079,0.076,0.066,0.03,-0.11
Q4 2002,,,,,,,,,0.082,0.07825,0.079,0.081,0.086,0.08,0.077714286,0.079,0.076,0.063,0.03,-0.02
Q1 2003,,,,,,,,,0.081,0.078625,0.078,0.081,0.087,0.081,0.078285714,0.079,0.076,0.066,0.04,0.24
Q2 2003,,,,,,,,,0.081,0.077875,0.078,0.08,0.085,0.08,0.077428571,0.078,0.075,0.066,0.03,-0.16
Q3 2003,0.078,0.079,0.083,0.077,0.076,0.077,0.073,0.065,0.08,0.077733333,0.079,0.081,0.086,0.08,0.079142857,0.079,0.076,0.073,0.03,-0.12
